Program Area,Permit Number,Permit Type,Permit Status,Project Number,Customer Name,Legal Name,CN Number,Project Type,TCEQ Received Date,Project Complete Date,Renewal Date,Project Status,Project Name,Regulated Entity,Physical Location,Region Name,County Name,Near City Name,Rules
NSR,167043,STDPMT,EFFECTIVE,352284,CIMAREX ENERGY CO,Coterra Energy Operating Co.,CN601706302,INITIAL,01/09/2023,01/09/2023,01/09/2033,COMPLETE,OGS NON-RULE STANDARD PERMIT FOR NEW REGISTRATION,RN111368007,"FROM ORLA, W ON RM 652 W FOR 18.7 MI, R FOR 4.0 MI, R FOR 4.7 MI, CONTINUE STRAIGHT FOR 2.4 MI TO FACILITY.",REGION 06 - EL PASO,CULBERSON,ORLA,6002 - NON RULE 2012-NOV-08
NSR,146388,STDPMT,EFFECTIVE,352846,CIMAREX ENERGY CO,Coterra Energy Operating Co.,CN601706302,NOTIFYEXST,01/25/2023,01/25/2023,04/27/2027,COMPLETE,OGS NEW PROJECT NOTIFICATION FOR EXISTING REGISTRATION,RN109750455,"FROM ORLA N ON HWY 285 FOR 10.5 MI, W ON CR 454 FOR 7.1 MI, R AT FORK FOR 2.8 MI, R AT FORK FOR 1.5 MI, L AT FORK FOR 2.5 MI, R AT FORK FOR 0.7 MI TO FACILITY.",REGION 06 - EL PASO,CULBERSON,ORLA,6002 - NON RULE 2012-NOV-08
NSR,154977,STDPMT,EFFECTIVE,352847,CIMAREX ENERGY CO,Coterra Energy Operating Co.,CN601706302,NOTIFYEXST,01/25/2023,01/25/2023,08/13/2029,COMPLETE,OGS NEW PROJECT NOTIFICATION FOR EXISTING REGISTRATION,RN110608429,"FROM ORLA, HEAD EAST ON RM 652 W. IN 17.3 MI TURN RIGHT. IN 2.5 MI TURN RIGHT. FACILITY IS IMMEDIATELY ON RIGHT.",REGION 06 - EL PASO,CULBERSON,ORLA,6002 - NON RULE 2012-NOV-08
NSR,154977,STDPMT,EFFECTIVE,352853,CIMAREX ENERGY CO,Coterra Energy Operating Co.,CN601706302,REVISION,01/25/2023,01/25/2023,08/13/2029,COMPLETE,OGS STANDARD PERMIT FOR EXISTING REGISTRATION,RN110608429,"FROM ORLA, HEAD EAST ON RM 652 W. IN 17.3 MI TURN RIGHT. IN 2.5 MI TURN RIGHT. FACILITY IS IMMEDIATELY ON RIGHT.",REGION 06 - EL PASO,CULBERSON,ORLA,6002 - NON RULE 2012-NOV-08
NSR,162361,STDPMT,CANCELLED,352866,CENTURION MATERIALS INC,Centurion Materials Inc.,CN605744762,VOIDPMT,01/25/2023,01/25/2023,02/10/2031,COMPLETE,NSR VOID PERMIT,RN111083671,FROM THE INTERSECTION OF MONTANA AVE & CONNELLY DR GO SOUTH 3.78 MILES TO SITE ON LEFT,REGION 06 - EL PASO,EL PASO,EL PASO,
NSR,165342,STDPMT,EFFECTIVE,353039,CIMAREX ENERGY CO,Coterra Energy Operating Co.,CN601706302,NOTIFYEXST,01/31/2023,01/31/2023,10/07/2031,COMPLETE,OGS NEW PROJECT NOTIFICATION FOR EXISTING REGISTRATION,RN110818747,"FROM ORLA, W ON FM 652 FOR 18.7 MI, N ON UNNAMED RD FOR 1.6 MI FACILITY IS 1 MI TO THE E.",REGION 06 - EL PASO,CULBERSON,ORLA,6002 - NON RULE 2012-NOV-08
NSR,165342,STDPMT,EFFECTIVE,353041,CIMAREX ENERGY CO,Coterra Energy Operating Co.,CN601706302,REVISION,01/31/2023,01/31/2023,10/07/2031,COMPLETE,OGS STANDARD PERMIT FOR EXISTING REGISTRATION,RN110818747,"FROM ORLA, W ON FM 652 FOR 18.7 MI, N ON UNNAMED RD FOR 1.6 MI FACILITY IS 1 MI TO THE E.",REGION 06 - EL PASO,CULBERSON,ORLA,6002 - NON RULE 2012-NOV-08
NSR,171660,STDPMT,EFFECTIVE,353111,CIMAREX ENERGY CO,Coterra Energy Operating Co.,CN601706302,NOTIFYNEW,02/01/2023,02/01/2023,,COMPLETE,OGS NEW PROJECT NOTIFICATION FOR NEW REGISTRATION,RN111651121,FROM ORLA TAKE RM 352 W FOR 14.9 MI TURN RIGHT AND GO 1.2 MI TURN LEFT AND GO 4 MI AND SITE WILL BE ON LEFT,REGION 06 - EL PASO,CULBERSON,ORLA,6002 - NON RULE 2012-NOV-08
NSR,171660,STDPMT,EFFECTIVE,353114,CIMAREX ENERGY CO,Coterra Energy Operating Co.,CN601706302,INITIAL,02/01/2023,02/01/2023,02/01/2033,COMPLETE,OGS NON-RULE STANDARD PERMIT FOR NEW REGISTRATION,RN111651121,FROM ORLA TAKE RM 352 W FOR 14.9 MI TURN RIGHT AND GO 1.2 MI TURN LEFT AND GO 4 MI AND SITE WILL BE ON LEFT,REGION 06 - EL PASO,CULBERSON,ORLA,6002 - NON RULE 2012-NOV-08
NSR,171723,STDPMT,EFFECTIVE,353404,US DEPARTMENT OF THE ARMY,U.S. Department of the Army,CN600126262,INITIAL,02/08/2023,02/16/2023,02/16/2033,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN100210095,APPROX 0.25 MI N OF SGM SIMS AND OLD IRONSIDES DR INTX,REGION 06 - EL PASO,EL PASO,FORT BLISS,6005
NSR,171761,STDPMT,EFFECTIVE,353613,CIMAREX ENERGY CO,Coterra Energy Operating Co.,CN601706302,NOTIFYNEW,02/14/2023,02/14/2023,,COMPLETE,OGS NEW PROJECT NOTIFICATION FOR NEW REGISTRATION,RN110114139,"FROM ORLA , TX HEAD W ON FM 652 FOR 18.7 MI , N ON UNNAMED RD FOR 3.6 MI TO FACILITY ON THE N SIDE OF THE ROAD.",REGION 06 - EL PASO,CULBERSON,ORLA,6002 - NON RULE 2012-NOV-08
NSR,171761,STDPMT,EFFECTIVE,353618,CIMAREX ENERGY CO,Coterra Energy Operating Co.,CN601706302,INITIAL,02/14/2023,02/14/2023,02/14/2033,COMPLETE,OGS NON-RULE STANDARD PERMIT FOR NEW REGISTRATION,RN110114139,"FROM ORLA , TX HEAD W ON FM 652 FOR 18.7 MI , N ON UNNAMED RD FOR 3.6 MI TO FACILITY ON THE N SIDE OF THE ROAD.",REGION 06 - EL PASO,CULBERSON,ORLA,6002 - NON RULE 2012-NOV-08
NSR,157553,STDPMT,EFFECTIVE,353928,DELAWARE PROCESSING LLC,"Oneok Delaware Midstream, Llc",CN605469956,REVISION,02/22/2023,02/22/2023,10/30/2030,COMPLETE,OGS STANDARD PERMIT FOR EXISTING REGISTRATION,RN110808417,"FROM ANGELES, TX TAKE US HWY 285 N FOR 8.2 MI, TURN L ON LEASE RD FOR 1.6 MI TO FACILITY.",REGION 06 - EL PASO,CULBERSON,ANGELES,6002 - NON RULE 2012-NOV-08
