Permit Number,Permit Status,TCEQ Received Date,Project Number,Legal Name,Project Name,County Name,BTM Onsite Datacenter,Site Name,Capacity (MW),Turbine / Engine Model,OEM,Status,Sources
183234,EFFECTIVE,2026-05-20T00:00:00.000000,409633,"Circe Energy, LLC",STANDARD PERMIT FOR EXISTING REGISTRATION,WARD,TRUE,Circe Energy Data Centers E Monahans Campus,400,['HSK78G'],['Cummins'],Permitted,"['TCEQ NSR Air Permit', 'TCEQ Records', 'Oil and Gas Watch']"
182541,EFFECTIVE,2025-12-19T00:00:00.000000,402447,Featherwood Capital LLC.,STANDARD PERMIT NEW REGISTRATION,REEVES,TRUE,Featherwood Energies Pecos Plant,931,['SGT-800 '],['Siemens Energy'],Permitted,"['TCEQ NSR Air Permit', 'TCEQ Records', 'Oil and Gas Watch']"
180360,EFFECTIVE,2026-05-04T00:00:00.000000,408828,Rpc Merchant LLC,STANDARD PERMIT FOR EXISTING REGISTRATION,WARD,FALSE,,,,,,
176519,EFFECTIVE,2024-05-31T00:00:00.000000,374640,Longfellow Power LLC,STANDARD PERMIT NEW REGISTRATION,PECOS,FALSE,,,,,,
180362,EFFECTIVE,2026-05-19T00:00:00.000000,409617,"Conduit Edge, LLC",STANDARD PERMIT FOR EXISTING REGISTRATION,REEVES,FALSE,,,,,,
177130,EFFECTIVE,2024-10-07T00:00:00.000000,381182,Rpc Merchant LLC,STANDARD PERMIT FOR EXISTING REGISTRATION,REEVES,FALSE,,,,,,
180759,EFFECTIVE,2025-07-03T00:00:00.000000,395111,"Priority Power Management, LLC",STANDARD PERMIT NEW REGISTRATION,LOVING,FALSE,,,,,,
181521,EFFECTIVE,2025-09-15T00:00:00.000000,398180,Longfellow Power LLC,STANDARD PERMIT NEW REGISTRATION,PECOS,TRUE,Rock House Draw Generating Station,576,"['TM2500 Gen 8', 'TM2500+']","['General Electric', 'General Electric']",Permitted,"['TCEQ NSR Air Permit', 'TCEQ Records', 'Oil and Gas Watch']"
177873,EFFECTIVE,2024-10-14T00:00:00.000000,381658,"Kodiak Generation, L.L.C.",STANDARD PERMIT NEW REGISTRATION,REEVES,FALSE,,,,,,
181782,EFFECTIVE,2025-10-07T00:00:00.000000,398911,Et Genco LLC,STANDARD PERMIT NEW REGISTRATION,CULBERSON,FALSE,,,,,,
174494,EFFECTIVE,2026-05-29T00:00:00.000000,410474,Xenergy Plus Inc,STANDARD PERMIT FOR EXISTING REGISTRATION,WARD,TRUE,Xenergy Monahans 1,118.98,"['HSI6CP350NG', '16M33D1280NG11']","['Baudouin', 'Baudouin']",Permitted,"['TCEQ NSR Air Permit', 'TCEQ Records', 'Oil and Gas Watch']"
181538,EFFECTIVE,2025-09-16T00:00:00.000000,398237,Coyanosa Thermal Facility I LLC,STANDARD PERMIT NEW REGISTRATION,REEVES,FALSE,,,,,,
177154,EFFECTIVE,2024-10-07T00:00:00.000000,381183,Rpc Merchant LLC,STANDARD PERMIT FOR EXISTING REGISTRATION,WARD,FALSE,,,,,,
