Program Area,Permit Number,Permit Type,Permit Status,Project Number,Customer Name,Legal Name,CN Number,Project Type,TCEQ Received Date,Project Complete Date,Renewal Date,Project Status,Project Name,Regulated Entity,Physical Location,Region Name,County Name,Near City Name,Rules
NSR,GHGPSDTX110M1,GHGPSD,EFFECTIVE,366647,"GCC PERMIAN, LLC","Gcc Permian, LLC",CN605260686,AMEND,11/16/2023,04/16/2025,,COMPLETE,CEMENT PLANT,RN100213305,16501 W MURPHY ST,REGION 07 - MIDLAND,ECTOR,ODESSA,
NSR,GHGPSDTX237,GHGPSD,EFFECTIVE,368773,"CPV BASIN RANCH HOLDINGS, LLC","Cpv Basin Ranch Holdings, LLC",CN606219053,INITIAL,01/12/2024,11/25/2024,,COMPLETE,ELECTRICAL POWER PLANT,RN111876330,FROM INTX OF BUSINESS LOOP 20 & FM 516 S MACKEY AVE GO N 0.3 MI TO CR 73 W CONCHO ST TURN L ONTO CR 873 W CONCHO ST & GO 5.7 MI TO CR 3398 TURN L ONTO CR 3398 & GO 0.2 MI TO CR 175 TURN R ONTO CR 175 & GO 1.3 MI TO SITE ON LEFT,REGION 07 - MIDLAND,WARD,BARSTOW,
NSR,GHGPSDTX207,GHGPSD,CANCELLED,381454,NACERO TX 1 LLC,Nacero Tx 1 LLC,CN605859958,VOIDPMT,10/10/2024,10/10/2024,,COMPLETE,NSR VOID PERMIT,RN111194916,INTERSECTION OF INTERSTATE 20 AND FM 866 HEAD NORTHBOUND ON FM 866 FOR APPROX 0.5 MI TO SITE ENTRANCE,REGION 07 - MIDLAND,ECTOR,PENWELL,
NSR,GHGPSDTX246,GHGPSD,EFFECTIVE,385412,LUMINANT GENERATION COMPANY LLC,Luminant Generation Company LLC,CN603256413,INITIAL,12/03/2024,09/24/2025,,COMPLETE,STEAM ELECTRIC STATION,RN102183969,600 N YUCCA DR,REGION 07 - MIDLAND,WARD,MONAHANS,
NSR,GHGPSDTX249,GHGPSD,EFFECTIVE,391250,SOUTHWESTERN PUBLIC SERVICE COMPANY,Southwestern Public Service Company,CN601481336,INITIAL,04/04/2025,03/26/2026,,COMPLETE,ELECTRIC POWER GENERATION FACILITY,RN108733106,2562 CR 314,REGION 07 - MIDLAND,GAINES,SEMINOLE,
NSR,GHGPSDTX253,GHGPSD,EFFECTIVE,393817,OXY USA INC.,OXY USA Inc.,CN604677401,INITIAL,05/30/2025,06/17/2026,,COMPLETE,NATURAL GAS PROCESSING PLANT,RN103758470,3.5 MI NW ON HWY 214 FROM INTX OF HWY 180 AND HWY 214,REGION 07 - MIDLAND,GAINES,SEMINOLE,
NSR,GHGPSDTX237,GHGPSD,EFFECTIVE,395516,CPV BASIN RANCH LLC,"Cpv Basin Ranch, LLC",CN606406148,OWNCHANGE,07/15/2025,07/15/2025,,COMPLETE,AIR NEW SOURCE REVIEW (NSR) CHANGE OF OWNERSHIP,RN111876330,FROM INTX OF BUSINESS LOOP 20 & FM 516 S MACKEY AVE GO N 0.3 MI TO CR 73 W CONCHO ST TURN L ONTO CR 873 W CONCHO ST & GO 5.7 MI TO CR 3398 TURN L ONTO CR 3398 & GO 0.2 MI TO CR 175 TURN R ONTO CR 175 & GO 1.3 MI TO SITE ON LEFT,REGION 07 - MIDLAND,WARD,BARSTOW,
NSR,GHGPSDTX255,GHGPSD,EFFECTIVE,396366,PACIFICO GW LLC,Pacifico Gw LLC,CN606413706,INITIAL,08/04/2025,01/21/2026,,COMPLETE,POWER GENERATION FACILITY,RN112259775,LOCATED ON HWY 18 APPROX 17 MI NORTH OF FORT STOCKTON,REGION 07 - MIDLAND,PECOS,FORT STOCKTON,
NSR,GHGPSDTX257,GHGPSD,PENDING,396507,NRG WOLF BONE ENERGY CENTER LLC,Nrg Wolf Bone Energy Center LLC,CN606415099,INITIAL,08/07/2025,,,PENDING,ELECTRIC POWER GENERATION FACILITY,RN112261797,INTX OF INTERSTATE 20 AND US HWY 285 SE OF PECOS GO S ON HWY 285 FOLLOW HWY 285 FOR 8 MI THEN EXIT L HEAD E ON THIS RD FOR 0.6 MI THEN HEAD E AT THE FORK FOLLOW THE RD FOR 1.6 MI THE SITE ENTRANCE WILL BE ON THE R HAND SIDE,REGION 07 - MIDLAND,REEVES,PECOS,
NSR,GHGPSDTX258,GHGPSD,EFFECTIVE,398190,PECOS POWER PLANT LLC,Pecos Power Plant LLC,CN606329043,INITIAL,09/15/2025,03/27/2026,,COMPLETE,ELECTRIC GENERATION PLANT,RN112090626,4200 SOUTH TOLIVAR ST,REGION 07 - MIDLAND,REEVES,PECOS,
NSR,GHGPSDTX260,GHGPSD,PENDING,399548,ENERGY FORGE ONE LLC,Energy Forge One LLC,CN606441046,INITIAL,10/17/2025,,,PENDING,ELECTRIC POWER GENERATION FACILITY,RN112304498,FROM THE INTX OF US 285 AND I-20 TRAVEL SE ON US 285 FOR APPROXIMATELY 16 MI AND TURN R ON RANCH ROAD 2007 TRAVEL SW FOR APPROXIMATELY 8 MI AND TURN R ON FM112 AND TRAVEL W FOR ABOUT 2 MI,REGION 07 - MIDLAND,REEVES,PECOS,
NSR,GHGPSDTX261,GHGPSD,PENDING,399766,WEST ROYAL ENERGY CENTER LLC,West Royal Energy Center LLC,CN606443026,INITIAL,10/23/2025,,,PENDING,ELECTRIC POWER GENERATION PLANT,RN112307673,DRIVE 7 MILES NORTHWEST OF MCCAMEY TX ON US HIGHWAY 385 PROJECT SITE IS LOCATED ON THE SOUTHWEST SIDE OF US HIGHWAY 385,REGION 07 - MIDLAND,UPTON,MCCAMEY,
